converted_date,weekly_sales,holiday_flag,fuel_price
2011-11-25,949075.87,1,3.424
2011-12-30,815915.52,1,3.119
2012-02-10,563460.77,1,3.103
2012-09-07,597876.55,1,3.596
2010-02-12,994801.4,1,2.548
2010-09-10,831425.2,1,2.565
2010-11-26,1261693.16,1,2.735
2010-12-31,773586.49,1,2.943
2011-02-11,996147.39,1,3.022
2011-09-09,848358.09,1,3.546
2011-11-25,1235163.86,1,3.236
2011-12-30,858572.22,1,3.129
2012-02-10,1021400.42,1,3.409
2012-09-07,932160.37,1,3.73
2010-02-12,552677.48,1,2.548
2010-09-10,484835.2,1,2.565
2010-11-26,768070.53,1,2.735
2010-12-31,459770.85,1,2.943
2011-02-11,555279.02,1,3.022
2011-09-09,528784.86,1,3.546
2011-11-25,814753.5,1,3.236
2011-12-30,549788.36,1,3.129
2012-02-10,609736.12,1,3.409
2012-09-07,565812.29,1,3.73
2010-02-12,2176028.52,1,2.828
2010-09-10,1720530.23,1,2.961
2010-11-26,2939946.38,1,3.162
2010-12-31,1707298.14,1,3.148
2011-02-11,2115408.31,1,3.381
2011-09-09,1670579.82,1,3.771
2011-11-25,2950198.64,1,3.76
2011-12-30,1930690.37,1,3.428
2012-02-10,2218595.8,1,3.722
2012-09-07,1708283.28,1,4.124
2010-02-12,1574684.08,1,2.548
2010-09-10,1231428.46,1,2.565
2010-11-26,1757242.51,1,2.735
2010-12-31,1172003.1,1,2.943
2011-02-11,1419236.9,1,3.022
2011-09-09,1249439.95,1,3.546
2011-11-25,1848953.48,1,3.236
2011-12-30,1352084.21,1,3.129
2012-02-10,1574287.76,1,3.409
2012-09-07,1304584.4,1,3.73
2010-02-12,1117863.33,1,2.946
2010-09-10,903119.03,1,3.044
2010-11-26,1601377.41,1,3.162
2010-12-31,891736.91,1,3.148
2011-02-11,1086421.57,1,3.381
2011-09-09,922850.57,1,3.913
2011-11-25,1591920.42,1,3.622
2011-12-30,1111638.07,1,3.428
2012-02-10,1199330.85,1,3.722
2012-09-07,955146.04,1,4.124
2010-02-12,2030933.46,1,2.671
2010-09-10,1772143.94,1,2.87
2010-11-26,2766400.05,1,2.83
2010-12-31,1675292,1,2.868
2011-02-11,1944438.9,1,3.034
2011-09-09,1872921.31,1,3.619
2011-11-25,2864170.61,1,3.445
2011-12-30,1969056.91,1,3.119
2012-02-10,2069284.57,1,3.116
2012-09-07,2165796.31,1,3.689
2010-02-12,1704218.84,1,2.773
2010-09-10,2191767.76,1,2.699
2010-11-26,2921709.71,1,3.039
2010-12-31,1623716.46,1,3.179
2011-02-11,1980405.03,1,3.239
2011-09-09,2202742.9,1,3.738
2011-11-25,2685351.81,1,3.492
2011-12-30,1914148.89,1,3.389
2012-02-10,2077256.24,1,3.64
2012-09-07,1904512.34,1,3.911
2010-02-12,682447.1,1,2.94
2010-09-10,641965.2,1,2.837
2010-11-26,1120018.92,1,3.186
2010-12-31,543754.17,1,3.336
2011-02-11,582864.35,1,3.416
2011-09-09,607593.51,1,3.93
2011-11-25,1066478.1,1,3.689
2011-12-30,603460.79,1,3.566
2012-02-10,628218.22,1,3.826
2012-09-07,587259.82,1,4.076
2010-02-12,472044.28,1,2.572
2010-09-10,537518.57,1,2.78
2010-11-26,651837.77,1,2.742
2010-12-31,575317.38,1,2.829
2011-02-11,466806.89,1,3.037
2011-09-09,574622.56,1,3.566
2011-11-25,712422.4,1,3.424
2011-12-30,665861.06,1,3.119
2012-02-10,473766.97,1,3.103
2012-09-07,537138.58,1,3.596
2010-02-12,841951.91,1,2.671
2010-09-10,1200888.28,1,2.87
2010-11-26,1005448.76,1,2.83
2010-12-31,635862.55,1,2.868
2011-02-11,813211.46,1,3.034
2011-09-09,1161900.18,1,3.619
2011-11-25,1225700.28,1,3.445
2011-12-30,777207.3,1,3.119
2012-02-10,880165.7,1,3.116
2012-09-07,1255633.29,1,3.689
2010-02-12,1187880.7,1,2.771
2010-09-10,1011201.12,1,2.717
2010-11-26,1653759.36,1,3.07
2010-12-31,887907.01,1,3.177
2011-02-11,1122053.58,1,3.255
2011-09-09,951549.61,1,3.809
2011-11-25,1624170.99,1,3.536
2011-12-30,1010562.49,1,3.402
2012-02-10,1161615.51,1,3.655
2012-09-07,1083521.24,1,3.921
2010-02-12,1536549.95,1,2.94
2010-09-10,1591453.39,1,2.837
2010-11-26,1993367.83,1,3.186
2010-12-31,1275146.94,1,3.336
2011-02-11,1430851.11,1,3.416
2011-09-09,1566712.79,1,3.93
2011-11-25,1974646.78,1,3.689
2011-12-30,1405168.06,1,3.566
2012-02-10,1499496.67,1,3.826
2012-09-07,1497073.82,1,4.076
2010-02-12,2109107.9,1,2.773
2010-09-10,2014954.79,1,2.699
2010-11-26,2811634.04,1,3.039
2010-12-31,1799737.79,1,3.179
2011-02-11,2211388.14,1,3.239
2011-09-09,2050542.56,1,3.738
2011-11-25,2906233.25,1,3.492
2011-12-30,2043245,1,3.389
2012-02-10,2462978.28,1,3.64
2012-09-07,2080529.06,1,3.911
2010-02-12,809321.44,1,2.548
2010-09-10,674055.81,1,2.565
2010-11-26,1245628.61,1,2.735
2010-12-31,672903.23,1,2.943
2011-02-11,771908.51,1,3.022
2011-09-09,653989.65,1,3.546
2011-11-25,1219263.4,1,3.236
2011-12-30,804362.36,1,3.129
2012-02-10,770652.79,1,3.409
2012-09-07,642827.29,1,3.73
2010-02-12,1022571.25,1,2.771
2010-09-10,924174.4,1,2.717
2010-11-26,1564502.26,1,3.07
2010-12-31,774262.28,1,3.177
2011-02-11,1009206.33,1,3.255
2011-09-09,1004434.54,1,3.809
2011-11-25,1535857.49,1,3.536
2011-12-30,982661.14,1,3.402
2012-02-10,1034448.07,1,3.655
2012-09-07,996628.8,1,3.921
2010-02-12,1380892.08,1,2.771
2010-09-10,1272842.85,1,2.717
2010-11-26,2072685.05,1,3.07
2010-12-31,1169773.85,1,3.177
2011-02-11,1249786.4,1,3.255
2011-09-09,1423289.9,1,3.809
2011-11-25,2057059.53,1,3.536
2011-12-30,1213486.95,1,3.402
2012-02-10,1358444.07,1,3.655
2012-09-07,1427162.26,1,3.921
2010-02-12,1414107.1,1,2.94
2010-09-10,1474498.59,1,2.837
2010-11-26,1779276.51,1,3.186
2010-12-31,1208600.05,1,3.336
2011-02-11,1341240.62,1,3.416
2011-09-09,1527455.19,1,3.93
2011-11-25,1761235.67,1,3.689
2011-12-30,1363973.16,1,3.566
2012-02-10,1403460.87,1,3.826
2012-09-07,1477134.75,1,4.076
2010-02-12,583364.02,1,2.773
2010-09-10,655811.95,1,2.699
2010-11-26,1115240.61,1,3.039
2010-12-31,623092.54,1,3.179
2011-02-11,615666.78,1,3.239
2011-09-09,673248.48,1,3.738
2011-11-25,1116211.39,1,3.492
2011-12-30,683665.37,1,3.389
2012-02-10,658984.38,1,3.64
2012-09-07,671482.9,1,3.911
2010-02-12,1015684.09,1,2.771
2010-09-10,1042226.3,1,2.717
2010-11-26,1286833.62,1,3.07
2010-12-31,877268.29,1,3.177
2011-02-11,1010711.08,1,3.255
2011-09-09,1069710.97,1,3.809
2011-11-25,1282320.05,1,3.536
2011-12-30,972834.42,1,3.402
2012-02-10,1081005.64,1,3.655
2012-09-07,1081874.03,1,3.921
2010-02-12,1745362.72,1,2.94
2010-09-10,1913494.81,1,2.837
2010-11-26,2627910.75,1,3.186
2010-12-31,1440963,1,3.336
2011-02-11,1636224.77,1,3.416
2011-09-09,1911470.84,1,3.93
2011-11-25,2504400.71,1,3.689
2011-12-30,1650604.6,1,3.566
2012-02-10,1651605.35,1,3.826
2012-09-07,1840955.23,1,4.076
2010-02-12,1558968.49,1,2.946
2010-09-10,1246062.17,1,3.044
2010-11-26,1937033.5,1,3.162
2010-12-31,1090558.57,1,3.148
2011-02-11,1397301.38,1,3.381
2011-09-09,1310087,1,3.913
2011-11-25,1929738.27,1,3.622
2011-12-30,1270036.53,1,3.428
2012-02-10,1572966.15,1,3.722
2012-09-07,1469693.99,1,4.124
2010-02-12,529672.95,1,2.771
2010-09-10,491290.37,1,2.717
2010-11-26,975268.91,1,3.07
2010-12-31,465992.02,1,3.177
2011-02-11,550387.78,1,3.255
2011-09-09,505406.72,1,3.809
2011-11-25,913165.19,1,3.536
2011-12-30,551743.05,1,3.402
2012-02-10,545840.05,1,3.655
2012-09-07,540811.85,1,3.921
2010-02-12,497374.57,1,2.548
2010-09-10,455162.92,1,2.565
2010-11-26,462732.36,1,2.735
2010-12-31,397631.02,1,2.943
2011-02-11,470921.24,1,3.022
2011-09-09,370897.82,1,3.546
2011-11-25,452163.93,1,3.236
2011-12-30,376777.45,1,3.129
2012-02-10,451365.99,1,3.409
2012-09-07,433565.77,1,3.73
2010-02-12,1543947.23,1,2.548
2010-09-10,1308179.02,1,2.565
2010-11-26,1858856.06,1,2.735
2010-12-31,1198071.6,1,2.943
2011-02-11,1539230.32,1,3.022
2011-09-09,1376670.27,1,3.546
2011-11-25,1934099.65,1,3.236
2011-12-30,1355405.95,1,3.129
2012-02-10,1527688.58,1,3.409
2012-09-07,1358111.62,1,3.73
2010-02-12,1123566.12,1,2.572
2010-09-10,1028635.39,1,2.78
2010-11-26,1634635.86,1,2.742
2010-12-31,955463.84,1,2.829
2011-02-11,1124357.2,1,3.037
2011-09-09,1128237.3,1,3.566
2011-11-25,1684468.66,1,3.424
2011-12-30,1102367.65,1,3.119
2012-02-10,1129422.86,1,3.103
2012-09-07,1126685.95,1,3.596
2010-02-12,294882.83,1,2.828
2010-09-10,272834.88,1,2.961
2010-11-26,240044.57,1,3.162
2010-12-31,219804.85,1,3.148
2011-02-11,276198.74,1,3.381
2011-09-09,281842.28,1,3.771
2011-11-25,255996.47,1,3.76
2011-12-30,215359.21,1,3.428
2012-02-10,282552.58,1,3.722
2012-09-07,286428.78,1,4.124
2010-02-12,994610.99,1,2.573
2010-09-10,932240.96,1,2.574
2010-11-26,1309476.68,1,2.752
2010-12-31,902109.69,1,2.955
2011-02-11,1015654.6,1,3.033
2011-09-09,930506.14,1,3.554
2011-11-25,1345595.82,1,3.225
2011-12-30,965512.36,1,3.119
2012-02-10,1047658.09,1,3.411
2012-09-07,976415.56,1,3.709
2010-02-12,1168815.31,1,2.773
2010-09-10,961685.98,1,2.699
2010-11-26,1781866.98,1,3.039
2010-12-31,576332.05,1,3.179
2011-02-11,859258.17,1,3.239
2011-09-09,922440.64,1,3.738
2011-11-25,1733822.4,1,3.492
2011-12-30,904650.55,1,3.389
2012-02-10,849779.14,1,3.64
2012-09-07,984833.35,1,3.911
2010-02-12,469563.7,1,2.539
2010-09-10,434471.38,1,2.513
2010-11-26,408891.49,1,2.725
2010-12-31,359310.65,1,2.949
2011-02-11,401501.2,1,3.009
2011-09-09,352960.64,1,3.499
2011-11-25,332811.55,1,3.181
2011-12-30,287425.22,1,3.132
2012-02-10,335741.9,1,3.462
2012-09-07,293728.57,1,3.697
2010-02-12,529852.7,1,2.548
2010-09-10,510296.07,1,2.565
2010-11-26,518220.72,1,2.735
2010-12-31,460331.7,1,2.943
2011-02-11,522514.32,1,3.022
2011-09-09,506273.74,1,3.546
2011-11-25,522554.04,1,3.236
2011-12-30,451327.61,1,3.129
2012-02-10,527041.46,1,3.409
2012-09-07,526838.14,1,3.73
2010-02-12,342214.9,1,2.946
2010-09-10,336227.69,1,3.044
2010-11-26,360857.98,1,3.162
2010-12-31,303908.81,1,3.148
2011-02-11,377672.46,1,3.381
2011-09-09,397771.68,1,3.913
2011-11-25,393715.71,1,3.622
2011-12-30,342667.35,1,3.428
2012-02-10,469787.38,1,3.722
2012-09-07,490274.82,1,4.124
2010-02-12,1266229.07,1,2.548
2010-09-10,1279666.47,1,2.565
2010-11-26,2149355.2,1,2.735
2010-12-31,1230012.16,1,2.943
2011-02-11,1227893.89,1,3.022
2011-09-09,1429345.86,1,3.546
2011-11-25,2338832.4,1,3.236
2011-12-30,1537139.56,1,3.129
2012-02-10,1442988.44,1,3.409
2012-09-07,1609811.75,1,3.73
2010-02-12,955338.29,1,2.771
2010-09-10,967310.82,1,2.717
2010-11-26,1166142.85,1,3.07
2010-12-31,811318.3,1,3.177
2011-02-11,931939.52,1,3.255
2011-09-09,1021391.99,1,3.809
2011-11-25,1230011.95,1,3.536
2011-12-30,908853.15,1,3.402
2012-02-10,999785.48,1,3.655
2012-09-07,1088248.4,1,3.921
2010-02-12,1075656.34,1,2.572
2010-09-10,1172672.27,1,2.78
2010-11-26,1866681.57,1,2.742
2010-12-31,1001790.16,1,2.829
2011-02-11,1150003.36,1,3.037
2011-09-09,1280958.97,1,3.566
2011-11-25,1906713.35,1,3.424
2011-12-30,1264014.16,1,3.119
2012-02-10,1238844.56,1,3.103
2012-09-07,1392143.82,1,3.596
2010-02-12,575709.96,1,2.828
2010-09-10,589091.04,1,2.961
2010-11-26,522296.71,1,3.162
2010-12-31,428953.6,1,3.148
2011-02-11,628063.88,1,3.381
2011-09-09,608390.94,1,3.771
2011-11-25,577698.37,1,3.76
2011-12-30,454412.28,1,3.428
2012-02-10,674919.45,1,3.722
2012-09-07,617405.35,1,4.124
2010-02-12,682918.99,1,2.548
2010-09-10,722120.04,1,2.565
2010-11-26,633520.34,1,2.735
2010-12-31,534740.3,1,2.943
2011-02-11,635650.98,1,3.022
2011-09-09,649128.23,1,3.546
2011-11-25,669965.22,1,3.236
2011-12-30,505405.85,1,3.129
2012-02-10,662198.65,1,3.409
2012-09-07,663814.18,1,3.73
2010-02-12,286857.13,1,2.671
2010-09-10,283455.13,1,2.87
2010-11-26,307646.5,1,2.83
2010-12-31,241937.11,1,2.868
2011-02-11,307486.73,1,3.034
2011-09-09,295811.25,1,3.619
2011-11-25,309129.01,1,3.445
2011-12-30,263917.85,1,3.119
2012-02-10,325377.97,1,3.116
2012-09-07,338737.33,1,3.689
2010-02-12,656988.64,1,2.773
2010-09-10,721460.22,1,2.699
2010-11-26,1182500.16,1,3.039
2010-12-31,679156.2,1,3.179
2011-02-11,766456,1,3.239
2011-09-09,746129.56,1,3.738
2011-11-25,1170672.94,1,3.492
2011-12-30,869403.63,1,3.389
2012-02-10,803657.12,1,3.64
2012-09-07,766512.66,1,3.911
